,provincia,comunidad autonoma,titulo,precio,habitaciones,metros,total inmuebles/comunidad
0,La Coruña,Galicia,,,,,1751
1,La Coruña,Galicia,"Chalet pareado en A Zapateira, Culleredo",1100,4,243,1751
2,La Coruña,Galicia,"Chalet pareado en Elviña - A Zapateira, A Coruña",1100,4,243,1751
3,La Coruña,Galicia,"Ático en avenida Pasaxe, 35, Los Castros - Castrillón, A Coruña",450,,Planta 4ª exterior con ascen,1751
4,La Coruña,Galicia,"Piso en calle de Fernando III o Santo, 9, Ensanche - Sar, Santiago de Compostela",1000,4,100,1751
5,La Coruña,Galicia,"Piso en calle Manuel Jesús Méndez Búa, s/n, Carral",450,2,76,1751
6,La Coruña,Galicia,"Piso en Os Mallos, A Coruña",800,4,100,1751
7,La Coruña,Galicia,"Piso en ronda de Outeiro, Agra del Orzán - Ventorrillo, A Coruña",650,3,122,1751
8,La Coruña,Galicia,"Piso en travesía de Meicende, Suevos-Pastoriza, Arteixo",400,4,107,1751
9,La Coruña,Galicia,"Piso en calle Concepción Arenal, 50, Centro, Ferrol",800,2,75,1751
10,La Coruña,Galicia,"Piso en calle da Pía, Castiñeiriño - Cruceiro do Sar, Santiago de Compostela",450,3,99,1751
11,La Coruña,Galicia,"Piso en ronda de nelle, 104, Paseo de los Puentes-Santa Margarita, A Coruña",600,3,87,1751
12,La Coruña,Galicia,"Piso en Someso - Matogrande, A Coruña",825,3,80,1751
13,La Coruña,Galicia,"Piso en Juan Flórez-San Pablo, A Coruña",700,2,80,1751
14,La Coruña,Galicia,"Ático en Editor Francisco Porrúa, 2, Corcubion",245,1,46,1751
15,La Coruña,Galicia,"Chalet pareado en calle O Canedo, Elviña - A Zapateira, A Coruña",550,4,90,1751
16,La Coruña,Galicia,"Piso en avenida de Villagarcía, Ensanche - Sar, Santiago de Compostela",750,3,95,1751
17,La Coruña,Galicia,"Dúplex en calle Garrucha, 3, Liáns, Oleiros",650,2,90,1751
18,La Coruña,Galicia,"Piso en calle Rosalía de Castro, 23, Carral",360,2,65,1751
19,La Coruña,Galicia,"Piso en plaza de La Blanca Quiroga, 5, Monte Alto - Zalaeta - Atocha, A Coruña",850,3,110,1751
20,La Coruña,Galicia,"Piso en plaza Agramar, Perillo, Oleiros",700,4,104,1751
21,La Coruña,Galicia,"Piso en calle Salvador Allende, 9, Boiro",1500,3,87,1751
22,La Coruña,Galicia,"Piso en avenida concordia, Los Castros - Castrillón, A Coruña",800,2,62,1751
23,La Coruña,Galicia,"Piso en calle de Frei Rosendo Salvado, 1, Ensanche - Sar, Santiago de Compostela",1200,4,90,1751
24,La Coruña,Galicia,"Piso en calle de Triacastela, 1, Concheiros - Fontiñas, Santiago de Compostela",800,4,110,1751
25,La Coruña,Galicia,"Ático en calle Costa Nova de Arriba, 4, Campus norte - S.Caetano, Santiago de Compostela",500,1,50,1751
26,La Coruña,Galicia,"Piso en calle General Rubín, 3, Someso - Matogrande, A Coruña",700,3,80,1751
27,La Coruña,Galicia,"Dúplex en calle Espartero, 29, Ferrol Vello - Puerto, Ferrol",650,4,135,1751
28,La Coruña,Galicia,"Piso en Birloque, 6, Someso - Matogrande, A Coruña",760,4,121,1751
29,La Coruña,Galicia,"Piso en plaza da Gaiteira, Los Castros - Castrillón, A Coruña",850,3,111,1751
30,La Coruña,Galicia,"Piso en Juan Florez, Juan Flórez-San Pablo, A Coruña",890,3,104,1751
31,La Coruña,Galicia,"Piso en travesía de Meicende, 150, Suevos-Pastoriza, Arteixo",425,3,90,1751
32,La Coruña,Galicia,"Piso en calle Arcay, 28, Val do Dubra",280,1,45,1751
33,La Coruña,Galicia,"Piso en barrie de la maza, Juan Flórez-San Pablo, A Coruña",850,3,95,1751
34,La Coruña,Galicia,"Piso en barrie de la maza, Juan Flórez-San Pablo, A Coruña",1100,3,100,1751
35,La Coruña,Galicia,"Piso en avenida del Pasaje, 1, Los Castros - Castrillón, A Coruña",750,2,65,1751
36,La Coruña,Galicia,"Piso en avenida lamadosa, Eirís, A Coruña",500,1,52,1751
37,La Coruña,Galicia,"Piso en EMILIA PARDO BAZAN, 20, Ensanche, A Coruña",1250,2,115,1751
38,La Coruña,Galicia,"Piso en calle de Frei Rosendo Salvado, 11, Ensanche - Sar, Santiago de Compostela",650,2,70,1751
39,La Coruña,Galicia,"Dúplex en calle Sorolla, 1, Oleiros",720,3,150,1751
